Brand,Name,Category,Price,Curl Pattern,Hair Type,Vegan?,"Weight (L,M,H)",Helpful Areas
Aussie,Miracle Moist Intense Hydrarion Oil,Oil,5.29,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
Miss Jessie's,Don't Want No Suds,Shampoo,14.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Hydrating, Nourish"
Miss Jessie's,Soften Me Up,Shampoo,14.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Hydrating, Nourish"
Afro Love,Oil Blend Leave-In,Oil,12.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,"Hydrating, Nourish"
Olaplex,Bonding Oil,Oil,30.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
African Pride,Moisture Miracle 5 Essential Hair Oils,Oil,9.98,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
TWIST,Curl Reign Multi-use Miracle Oil,Oil,4.72,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
The Doux,Mousse Def Texture Foam,Mousse/Foam,15.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,Definition
Dove,STYLE+care Curls Defining Mousse,Mousse/Foam,7.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Thin, Medium, Thick",No,L,Definition
Dippity Do,Girls with Curls,Gel,9.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,Definition
Giovanni,Direct Leave In Weightless Moisture Conditioner,Leave-In,9.88,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,"Hydrating, Nourish"
Kinky-Curly,Knot Today Leave-In,Leave-In,14.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Aunt Jackie's,Curls and Coils Quench Moisture Intensive Leave-In Hair Conditioner,Leave-In,11.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Marc Anthony,"Leave-In Conditioner, Strictly Curls",Leave-In,7.67,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Briogeo,Curl Charisma Rice Amino + Avocado Leave-In Defining Crème,Leave-In,24.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Olaplex,"Bond Smoother, Leave-In Styling Hair Cream Treatment",Leave-In,30.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Aussie,Miracle Curls with Coconut Oil,Leave-In,5.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Carol's Daughter,Coco Creme Coil Enhancing Moisture Butter,Curl Cream,11.97,"4A, 4B, 4C","Medium, Thick",No,H,"Hydrating, Nourish"
Mielle,Pomegranate & Honey Sculpting Custard,Curl Cream,9.50,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,L,"Hydrating, Nourish"
Aunt Jackie's,"Curl La La, Lightweight Curl Defining Custard",Curl Cream,12.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,L,"Hydrating, Nourish"
African Pride,Moisture Miracle Coconut Oil & Baobab Oil Leave-In Hair Cream,Leave-In,5.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
As I Am,Double Butter Cream,Leave-In,9.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Hydrating, Nourish"
Creme Of Nature,Curl Cream for Curly Hair,Curl Cream,9.22,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Mizani,True Textures Curl Defining Lotion,Curl Cream,26.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Aussie,Miracle Coils Shaping Jelly,Gel,18.99,"4A, 4B, 4C","Medium, Thick",No,H,Definition
As I Am,Long and Luxe Curl Enhancing Smoothie,Curl Cream,10.95,"4A, 4B, 4C","Medium, Thick",No,H,"Hydrating, Nourish"
Moisture I.T. ,Leave-In Conditioner,Leave-In,15.99,"4A, 4B, 4C","Medium, Thick",No,H,Hydration
Aunt Jackie's,Grapeseed Style and Shine Recipes Ice Curls Glossy Curling Jelly,Gel,13.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,Hydration
Aunt Jackie's,Twist Gel with Extra Firm Hold,Gel,9.68,"4A, 4B, 4C","Medium, Thick",No,H,"Strengthening, Lengthening, Definition"
Imbue,Coil Awakening Sulphate Free Cream Cleanser Shampoo,Shampoo,9.99,"4A, 4B, 4C","Medium, Thick",Yes,H,"Hydrating, Nourish"
Aunt Jackie's,Curls and Coils Oh So Clean Deep Moisturizing and Softening Hair Shampoo for Natural Curls,Shampoo,10.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,Hydration
Love Ur Curls,LUS Brands All-in-One Styler for Kinky-Coily Hair,Curl Cream,24.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,"Hydration, Strengthening, Repair"
Qhemet Biologics Amla & Olive,Heavy Cream,Curl Cream,21.00,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,"Hydration, Strengthening, Repair"
Aveda,Be Curly Advanced Coil Definer Gel,Gel,46.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,Definition
Pantene,Curl Defining Pudding,Curl Cream,10.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,Definition
Lottabody,Wrap Me Foaming Mousse,Mousse/Foam,5.75,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Definition, Shine"
Cake Beauty,The Curl Friend,Curl Cream,10.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Definition, Shine, Hydration"
Pacifica,Pineapple Swirl Curl Defining Cream,Curl Cream,11.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Hydration, Shine, "
Hairtage,Ahead of the Curl Cream,Curl Cream,8.94,"3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,H,Definition
Cake Beauty,The Curl Whip,Mousse/Foam,10.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,Definition
Umberto Giannini,Curl Jelly ,Gel,10.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Definition, Shine"
Mielle,Coil Sculpting Custard,Curl Cream,9.50,"4A, 4B, 4C","Thin, Medium, Thick",No,M,"Definition, Hydration"
Miss Jessie's,Coily Custard,Curl Cream,16.79,"3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,Definition
COLOR WOW,Dream Coat for Curly Hair,Curl Cream,24.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Definition, Hydration"
